Marca temporal,Puntuación,Team NUMBER,"1. En promedio, ¿cuánto tardan en cambiar los bumpers?","2. ¿Tienen una checklist de rutina del robot antes de cada partida?

Nota: Deben mostrarla o demostrarla; no basta con responder 'sí'.","3. ¿Tienen refacciones para mecanismos del robot?

Nota: Deben mostrar o demostrar las refacciones.","4. ¿El robot requiere especificaciones críticas de arranque que afecten su eficiencia?

Nota: Si existe, que sea algo muy específico a criterio del scouter.","5. ¿Usan tornillería estandarizada (mismas medidas)?

Nota: Deben mostrar o demostrarlo.","6. ¿La estructura mecánica general es suficientemente robusta?

Nota: Se espera un 'Sí' con total seguridad.","7. ¿Es fácil cambiar la batería?

Nota: Debe poder hacerlo cualquier persona sin dificultad.","8. ¿Cuentan con equipamiento/herramientas suficientes?

Nota: Más que sólo taladro y Allen.","9. ¿Hay componentes que reparen constantemente o sufran mantenimiento excesivo?

Nota: La última opción se considera incorrecta.","10. Como examinador, ¿cómo te sentiste al evaluar al equipo?

Nota: Se espera que nunca te hayas sentido mal; especifica cualquier inconformidad."
17/10/2025 18:29:59,9 / 9,9999,Menos de 3 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,No,Muy bien
17/10/2025 18:34:36,9 / 9,6702,Menos de 3 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,No,Bien
17/10/2025 18:02:52,8 / 9,3472,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,Bien si cumplia todo
17/10/2025 18:06:04,8 / 9,3478,Menos de 3 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo","Muy bien, fueron lindos."
17/10/2025 18:08:58,8 / 9,4010,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,"Bien, había personas interesadas en responder las preguntas "
17/10/2025 18:10:08,8 / 9,5133,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,Bastante satisfecho con los resultados y las preguntas en cuestión.
17/10/2025 18:21:14,8 / 9,5959,3–5 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,No,Confusion (ellos) pero en general apesar de eso no senti molestias
17/10/2025 18:24:22,8 / 9,4635,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,Muy bien.
18/10/2025 12:57:24,8 / 9,3526,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,No,"Bien, fueron abiertos y honestos"
18/10/2025 15:40:44,8 / 9,3158,Menos de 3 minutos,No,Sí,No,Sí,Sí,Cumple,Cumple,No,Muy bien
17/10/2025 18:06:33,7 / 9,4400,3–5 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",bien pero creo que mintieron mucho 
17/10/2025 18:14:10,7 / 9,5716,Menos de 3 minutos,Sí,Sí,No,Sí,No,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Bien y apollo del mentor
17/10/2025 18:16:19,7 / 9,7102,3–5 minutos,Sí,Sí,No,Sí,No,Cumple,Cumple,No,bien 
17/10/2025 18:19:03,7 / 9,9301,3–5 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Se estaban tardando mucho en cambiar el bumper.
17/10/2025 18:37:30,7 / 9,4635,Menos de 3 minutos,Sí,Sí,Sí,No,Sí,Cumple,Cumple,No,El equipo estaba dispuesto a responder preguntas y fueron abiertos. 
17/10/2025 18:44:48,7 / 9,4403,Menos de 3 minutos,No,Sí,Sí,Sí,Sí,Cumple,Cumple,No,Me senti bien
18/10/2025 13:16:14,7 / 9,6017,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo","Bien, fueron amables y abiertos. Muy buen equipo, muy abierto"
18/10/2025 13:21:23,7 / 9,6652,Menos de 3 minutos,Sí,Sí,No,Sí,Sí,Cumple,No Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Bien fueron amables
18/10/2025 13:33:49,7 / 9,7725,Menos de 3 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Bien fueron amables y abiertos
18/10/2025 15:19:41,7 / 9,3933,Menos de 3 minutos,No,Sí,No,Sí,Sí,No Cumple,Cumple,No,Bien
18/10/2025 16:04:56,7 / 9,5887,Más de 5 minutos,No,Sí,No,Sí,Sí,Cumple,Cumple,No,"Bien, aunque dudaban en sus respuestas"
17/10/2025 18:04:09,6 / 9,3354,3–5 minutos,Sí,Sí,No,Sí,No,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Nos sentimos escuchados
17/10/2025 18:10:17,6 / 9,5948,Menos de 3 minutos,No,Sí,No,Sí,No,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",El equipo es abierto y honesto. Y estuvi dispuesto a responder todas las preguntas
17/10/2025 18:16:20,6 / 9,4731,3–5 minutos,No,No,No,Sí,Sí,Cumple,Cumple,No,Me senti bien en general de repente les confundio mis preguntas pero todo bien
18/10/2025 13:06:53,6 / 9,4735,Menos de 3 minutos,No,Sí,Sí,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Bien fueron abiertos y amables
18/10/2025 13:31:16,6 / 9,7556,3–5 minutos,Sí,Sí,Sí,Sí,Sí,Cumple,Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Bien fueron abiertos
17/10/2025 18:15:36,5 / 9,7421,3–5 minutos,Sí,No,No,Sí,Sí,Cumple,No Cumple,"Sí, pero con muchos repuestos y cambio sencillo",Me sentí bien
17/10/2025 18:44:22,3 / 9,10931,Más de 5 minutos,No,No,Sí,Sí,No,Cumple,No Cumple,No,"Bien, tuvieron mucha disposición "
19/10/2025 8:21:43,8 / 9,5887,Más de 5 minutos,Sí,Sí,No,Sí,Sí,Cumple,Cumple,No,Bien